,Type,Air temperature [°C],Process temperature [°C],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temperature difference [°C]
663,L,25.350000000000023,36.75,1469,44.0,185,0,0,0,0,0,0,11.399999999999977
664,L,25.350000000000023,36.75,1390,47.4,187,0,0,0,0,0,0,11.399999999999977
665,L,25.350000000000023,36.75,1729,28.1,189,0,0,0,0,0,0,11.399999999999977
666,L,25.350000000000023,36.85000000000002,1470,43.5,191,0,0,0,0,0,0,11.5
667,L,25.350000000000023,36.75,1459,48.5,193,0,0,0,0,0,0,11.399999999999977
668,L,25.350000000000023,36.75,1738,24.0,195,0,0,0,0,0,0,11.399999999999977
669,H,25.350000000000023,36.75,1471,37.7,197,0,0,0,0,0,0,11.399999999999977
670,L,25.450000000000045,36.85000000000002,1822,25.4,202,0,0,0,0,0,0,11.399999999999977
671,L,25.350000000000023,36.75,1554,34.8,204,0,0,0,0,0,0,11.399999999999977
672,M,25.450000000000045,36.75,1433,43.2,206,0,0,0,0,0,0,11.299999999999955
673,L,25.450000000000045,36.75,1449,47.7,209,0,0,0,0,0,0,11.299999999999955
674,L,25.650000000000034,36.85000000000002,1456,41.2,0,0,0,0,0,0,0,11.199999999999989
675,M,25.650000000000034,36.950000000000045,1424,45.5,2,0,0,0,0,0,0,11.300000000000011
676,H,25.75,37.05000000000001,1577,34.7,5,0,0,0,0,0,0,11.300000000000011
677,L,25.75,37.05000000000001,1478,39.7,10,0,0,0,0,0,0,11.300000000000011
678,M,25.650000000000034,37.05000000000001,1295,61.2,12,0,0,0,0,0,0,11.399999999999977
679,L,25.650000000000034,37.05000000000001,1372,47.3,15,0,0,0,0,0,0,11.399999999999977
680,M,25.650000000000034,36.950000000000045,1432,42.6,17,0,0,0,0,0,0,11.300000000000011
681,M,25.55000000000001,36.85000000000002,1656,33.2,20,0,0,0,0,0,0,11.300000000000011
682,H,25.650000000000034,36.85000000000002,1410,48.8,23,0,0,0,0,0,0,11.199999999999989
683,L,25.55000000000001,36.85000000000002,1874,24.4,28,0,0,0,0,0,0,11.300000000000011
684,L,25.55000000000001,36.85000000000002,1538,43.2,30,0,0,0,0,0,0,11.300000000000011
685,M,25.55000000000001,36.85000000000002,1636,29.7,32,0,0,0,0,0,0,11.300000000000011
686,M,25.55000000000001,36.85000000000002,1504,40.4,35,0,0,0,0,0,0,11.300000000000011
687,M,25.55000000000001,36.85000000000002,1531,42.4,38,0,0,0,0,0,0,11.300000000000011
688,H,25.450000000000045,36.85000000000002,1735,26.4,41,0,0,0,0,0,0,11.399999999999977
689,H,25.450000000000045,36.85000000000002,1354,55.6,46,0,0,0,0,0,0,11.399999999999977
690,H,25.450000000000045,36.85000000000002,1413,40.2,51,0,0,0,0,0,0,11.399999999999977
691,L,25.55000000000001,36.950000000000045,1563,39.3,56,0,0,0,0,0,0,11.400000000000034
692,L,25.55000000000001,36.950000000000045,1479,42.1,58,0,0,0,0,0,0,11.400000000000034
693,L,25.55000000000001,36.950000000000045,1477,38.3,60,0,0,0,0,0,0,11.400000000000034
694,L,25.450000000000045,36.950000000000045,1394,50.0,62,0,0,0,0,0,0,11.5
695,L,25.450000000000045,36.85000000000002,1487,45.4,64,0,0,0,0,0,0,11.399999999999977
696,M,25.450000000000045,36.85000000000002,1815,25.3,66,0,0,0,0,0,0,11.399999999999977
697,M,25.450000000000045,36.650000000000034,1453,39.7,69,0,0,0,0,0,0,11.199999999999989
698,L,25.450000000000045,36.650000000000034,1539,40.2,72,0,0,0,0,0,0,11.199999999999989
699,H,25.350000000000023,36.55000000000001,1416,39.2,74,0,0,0,0,0,0,11.199999999999989
700,M,25.450000000000045,36.650000000000034,1683,31.6,79,0,0,0,0,0,0,11.199999999999989
701,L,25.55000000000001,36.650000000000034,1515,40.1,82,0,0,0,0,0,0,11.100000000000023
702,M,25.55000000000001,36.75,1531,48.3,84,0,0,0,0,0,0,11.199999999999989
703,H,25.55000000000001,36.75,1479,40.9,87,0,0,0,0,0,0,11.199999999999989
704,L,25.55000000000001,36.75,1516,33.7,92,0,0,0,0,0,0,11.199999999999989
705,L,25.55000000000001,36.85000000000002,1507,38.2,94,0,0,0,0,0,0,11.300000000000011
706,M,25.650000000000034,36.85000000000002,1434,43.3,96,0,0,0,0,0,0,11.199999999999989
707,L,25.55000000000001,36.75,1838,27.3,99,0,0,0,0,0,0,11.199999999999989
708,M,25.450000000000045,36.650000000000034,1416,45.9,101,0,0,0,0,0,0,11.199999999999989
709,M,25.450000000000045,36.650000000000034,1357,49.7,104,0,0,0,0,0,0,11.199999999999989
710,M,25.350000000000023,36.55000000000001,1697,28.1,107,0,0,0,0,0,0,11.199999999999989
711,L,25.350000000000023,36.55000000000001,1443,46.2,110,0,0,0,0,0,0,11.199999999999989
712,L,25.350000000000023,36.55000000000001,1453,37.6,112,0,0,0,0,0,0,11.199999999999989
713,L,25.25,36.450000000000045,1439,46.4,114,0,0,0,0,0,0,11.200000000000045
714,L,25.25,36.450000000000045,1609,36.2,116,0,0,0,0,0,0,11.200000000000045
715,L,25.25,36.450000000000045,1324,59.1,118,0,0,0,0,0,0,11.200000000000045
716,H,25.25,36.450000000000045,1420,45.8,120,0,0,0,0,0,0,11.200000000000045
717,L,25.25,36.55000000000001,1545,36.9,125,0,0,0,0,0,0,11.300000000000011
718,L,25.350000000000023,36.650000000000034,1477,39.0,127,0,0,0,0,0,0,11.300000000000011
719,L,25.25,36.650000000000034,1447,58.1,129,0,0,0,0,0,0,11.400000000000034
720,L,25.25,36.75,1809,23.8,131,0,0,0,0,0,0,11.5
721,L,25.350000000000023,36.75,1696,30.9,133,0,0,0,0,0,0,11.399999999999977
722,L,25.350000000000023,36.75,1427,44.7,135,0,0,0,0,0,0,11.399999999999977
723,M,25.25,36.75,1500,46.3,137,0,0,0,0,0,0,11.5
724,L,25.350000000000023,36.75,1390,44.6,140,0,0,0,0,0,0,11.399999999999977
725,L,25.25,36.650000000000034,1640,34.2,142,0,0,0,0,0,0,11.400000000000034
726,M,25.25,36.650000000000034,1628,37.4,144,0,0,0,0,0,0,11.400000000000034
727,H,25.150000000000034,36.450000000000045,1499,37.6,147,0,0,0,0,0,0,11.300000000000011
728,M,25.25,36.55000000000001,1425,50.3,152,0,0,0,0,0,0,11.300000000000011
729,L,25.150000000000034,36.450000000000045,1586,37.7,155,0,0,0,0,0,0,11.300000000000011
730,M,25.150000000000034,36.450000000000045,1471,50.7,157,0,0,0,0,0,0,11.300000000000011
731,M,25.150000000000034,36.450000000000045,1431,53.0,160,0,0,0,0,0,0,11.300000000000011
732,L,25.05000000000001,36.450000000000045,1924,22.1,163,0,0,0,0,0,0,11.400000000000034
733,M,24.950000000000045,36.25,1421,42.0,165,0,0,0,0,0,0,11.299999999999955
734,H,24.850000000000023,36.25,1305,54.6,168,0,0,0,0,0,0,11.399999999999977
735,L,24.75,36.25,1557,32.4,173,0,0,0,0,0,0,11.5
736,L,24.75,36.150000000000034,1555,38.2,175,0,0,0,0,0,0,11.400000000000034
737,H,24.75,36.150000000000034,1474,39.2,177,0,0,0,0,0,0,11.400000000000034
738,L,24.650000000000034,36.150000000000034,1506,45.9,182,0,0,0,0,0,0,11.5
739,L,24.75,36.25,1390,41.8,184,0,0,0,0,0,0,11.5
740,M,24.75,36.25,1450,46.9,186,0,0,0,0,0,0,11.5
741,L,24.75,36.150000000000034,1513,38.8,189,0,0,0,0,0,0,11.400000000000034
742,L,24.650000000000034,36.05000000000001,1643,34.7,191,0,0,0,0,0,0,11.399999999999977
743,L,24.650000000000034,36.05000000000001,1361,53.8,193,0,0,0,0,0,0,11.399999999999977
744,L,24.55000000000001,35.950000000000045,1450,40.9,195,0,0,0,0,0,0,11.400000000000034
745,L,24.55000000000001,35.85000000000002,1451,50.7,197,0,0,0,0,0,0,11.300000000000011
746,L,24.650000000000034,35.950000000000045,1289,62.0,199,1,0,0,0,1,0,11.300000000000011
747,L,24.650000000000034,35.950000000000045,1356,48.3,201,0,0,0,0,0,0,11.300000000000011
748,H,24.55000000000001,35.950000000000045,1528,46.3,203,0,0,0,0,0,0,11.400000000000034
749,L,24.450000000000045,35.85000000000002,1978,22.3,208,0,0,0,0,0,0,11.399999999999977
750,L,24.55000000000001,35.85000000000002,1535,36.8,210,0,0,0,0,0,0,11.300000000000011
751,M,24.650000000000034,35.950000000000045,1843,24.2,212,0,0,0,0,0,0,11.300000000000011
752,L,24.75,35.950000000000045,1422,48.7,215,0,0,0,0,0,0,11.200000000000045
753,L,24.650000000000034,35.85000000000002,1536,40.4,217,0,0,0,0,0,0,11.199999999999989
754,M,24.75,35.950000000000045,1483,44.3,219,0,0,0,0,0,0,11.200000000000045
755,H,24.650000000000034,35.950000000000045,1492,43.7,222,0,0,0,0,0,0,11.300000000000011
756,L,24.650000000000034,35.85000000000002,1584,40.4,227,0,0,0,0,0,0,11.199999999999989
757,L,24.75,35.950000000000045,1555,33.7,229,0,0,0,0,0,0,11.200000000000045
758,L,24.650000000000034,35.85000000000002,1497,41.7,231,0,0,0,0,0,0,11.199999999999989
759,M,24.55000000000001,35.650000000000034,1537,36.3,233,0,0,0,0,0,0,11.100000000000023
760,L,24.55000000000001,35.650000000000034,1505,39.4,236,0,0,0,0,0,0,11.100000000000023
761,L,24.55000000000001,35.650000000000034,1646,34.6,238,0,0,0,0,0,0,11.100000000000023
762,M,24.55000000000001,35.650000000000034,1286,60.5,0,0,0,0,0,0,0,11.100000000000023
763,L,24.55000000000001,35.650000000000034,1400,47.5,3,0,0,0,0,0,0,11.100000000000023
764,L,24.650000000000034,35.75,1337,56.5,5,0,0,0,0,0,0,11.099999999999966
765,L,24.75,35.85000000000002,1332,53.9,7,0,0,0,0,0,0,11.100000000000023
766,L,24.650000000000034,35.85000000000002,1561,38.3,9,0,0,0,0,0,0,11.199999999999989
767,L,24.75,35.85000000000002,1546,31.1,11,0,0,0,0,0,0,11.100000000000023
768,L,24.75,35.85000000000002,1713,29.3,13,0,0,0,0,0,0,11.100000000000023
769,L,24.75,35.85000000000002,1343,44.5,15,0,0,0,0,0,0,11.100000000000023
770,L,24.650000000000034,35.85000000000002,1391,54.4,17,0,0,0,0,0,0,11.199999999999989
771,H,24.650000000000034,35.85000000000002,1311,58.6,19,0,0,0,0,0,0,11.199999999999989
772,H,24.650000000000034,35.85000000000002,1453,51.0,24,0,0,0,0,0,0,11.199999999999989
773,L,24.650000000000034,35.85000000000002,1510,39.4,29,0,0,0,0,0,0,11.199999999999989
774,L,24.650000000000034,35.75,1448,48.8,31,0,0,0,0,0,0,11.099999999999966
775,L,24.55000000000001,35.650000000000034,1453,46.0,33,0,0,0,0,0,0,11.100000000000023
776,L,24.55000000000001,35.650000000000034,1468,39.2,35,0,0,0,0,0,0,11.100000000000023
777,L,24.55000000000001,35.650000000000034,1382,47.5,37,0,0,0,0,0,0,11.100000000000023
778,L,24.55000000000001,35.85000000000002,1580,32.2,39,0,0,0,0,0,0,11.300000000000011
779,L,24.650000000000034,35.85000000000002,1666,29.8,41,0,0,0,0,0,0,11.199999999999989
780,M,24.75,35.85000000000002,1409,50.7,43,0,0,0,0,0,0,11.100000000000023
781,L,24.650000000000034,35.85000000000002,1675,29.7,46,0,0,0,0,0,0,11.199999999999989
782,L,24.650000000000034,35.75,1698,30.8,48,0,0,0,0,0,0,11.099999999999966
783,H,24.55000000000001,35.75,1579,33.4,50,0,0,0,0,0,0,11.199999999999989
784,L,24.55000000000001,35.75,1743,27.9,55,0,0,0,0,0,0,11.199999999999989
785,M,24.75,35.85000000000002,1497,44.8,57,0,0,0,0,0,0,11.100000000000023
786,L,24.75,35.950000000000045,1741,28.8,60,0,0,0,0,0,0,11.200000000000045
787,L,24.75,35.950000000000045,1435,45.3,62,0,0,0,0,0,0,11.200000000000045
788,M,24.75,35.950000000000045,1440,46.3,64,0,0,0,0,0,0,11.200000000000045
789,M,24.75,35.85000000000002,1641,33.3,67,0,0,0,0,0,0,11.100000000000023
790,L,24.650000000000034,35.75,1420,45.4,70,0,0,0,0,0,0,11.099999999999966
791,L,24.650000000000034,35.75,1611,35.4,72,0,0,0,0,0,0,11.099999999999966
792,L,24.650000000000034,35.650000000000034,1373,42.9,74,0,0,0,0,0,0,11.0
793,M,24.650000000000034,35.75,1683,31.8,76,0,0,0,0,0,0,11.099999999999966
794,H,24.75,35.75,1547,32.6,79,0,0,0,0,0,0,11.0
795,L,24.75,35.650000000000034,1605,37.0,84,0,0,0,0,0,0,10.900000000000034
796,M,24.75,35.75,2010,18.9,86,0,0,0,0,0,0,11.0
797,L,24.650000000000034,35.55000000000001,1565,40.1,89,0,0,0,0,0,0,10.899999999999977
798,M,24.75,35.650000000000034,1828,24.6,91,0,0,0,0,0,0,10.900000000000034
799,M,24.850000000000023,35.650000000000034,1579,34.1,94,0,0,0,0,0,0,10.800000000000011
800,M,24.850000000000023,35.75,1882,24.2,97,0,0,0,0,0,0,10.899999999999977
801,L,24.75,35.650000000000034,1285,52.1,100,0,0,0,0,0,0,10.900000000000034
802,L,24.75,35.650000000000034,1571,35.0,102,0,0,0,0,0,0,10.900000000000034
803,H,24.75,35.650000000000034,1549,37.8,104,0,0,0,0,0,0,10.900000000000034
804,M,24.75,35.650000000000034,1544,37.6,109,0,0,0,0,0,0,10.900000000000034
805,M,24.850000000000023,35.75,1412,47.4,112,0,0,0,0,0,0,10.899999999999977
806,M,24.850000000000023,35.75,1422,53.0,115,0,0,0,0,0,0,10.899999999999977
807,L,24.850000000000023,35.55000000000001,1867,22.8,118,0,0,0,0,0,0,10.699999999999989
808,L,24.75,35.55000000000001,1424,43.3,120,0,0,0,0,0,0,10.800000000000011
809,L,24.75,35.450000000000045,1452,45.7,122,0,0,0,0,0,0,10.700000000000045
810,L,24.75,35.55000000000001,1550,39.7,124,0,0,0,0,0,0,10.800000000000011
811,L,24.650000000000034,35.450000000000045,1588,37.6,126,0,0,0,0,0,0,10.800000000000011
812,L,24.650000000000034,35.450000000000045,1338,44.4,128,0,0,0,0,0,0,10.800000000000011
813,L,24.650000000000034,35.450000000000045,1513,40.0,130,0,0,0,0,0,0,10.800000000000011
814,M,24.650000000000034,35.35000000000002,1470,45.9,132,0,0,0,0,0,0,10.699999999999989
815,M,24.650000000000034,35.35000000000002,1516,36.7,135,0,0,0,0,0,0,10.699999999999989
816,L,24.650000000000034,35.450000000000045,1434,48.3,138,0,0,0,0,0,0,10.800000000000011
817,L,24.650000000000034,35.450000000000045,1368,52.0,140,0,0,0,0,0,0,10.800000000000011
818,L,24.650000000000034,35.450000000000045,1304,48.7,142,0,0,0,0,0,0,10.800000000000011
819,L,24.650000000000034,35.450000000000045,1398,46.7,144,0,0,0,0,0,0,10.800000000000011
820,L,24.55000000000001,35.450000000000045,1516,37.4,146,0,0,0,0,0,0,10.900000000000034
821,L,24.55000000000001,35.450000000000045,1474,41.7,148,0,0,0,0,0,0,10.900000000000034
822,M,24.55000000000001,35.450000000000045,1547,34.7,150,0,0,0,0,0,0,10.900000000000034
823,M,24.450000000000045,35.35000000000002,1482,39.9,153,0,0,0,0,0,0,10.899999999999977
824,L,24.450000000000045,35.25,1436,42.8,156,0,0,0,0,0,0,10.799999999999955
825,L,24.450000000000045,35.150000000000034,1474,40.0,158,0,0,0,0,0,0,10.699999999999989
826,L,24.350000000000023,35.05000000000001,1481,38.2,160,0,0,0,0,0,0,10.699999999999989
827,L,24.350000000000023,35.150000000000034,1501,42.1,162,0,0,0,0,0,0,10.800000000000011
828,L,24.350000000000023,35.150000000000034,1566,37.2,164,0,0,0,0,0,0,10.800000000000011
829,L,24.350000000000023,35.150000000000034,1579,34.5,166,0,0,0,0,0,0,10.800000000000011
830,L,24.450000000000045,35.25,1631,35.0,168,0,0,0,0,0,0,10.799999999999955
831,M,24.450000000000045,35.25,1544,42.3,170,0,0,0,0,0,0,10.799999999999955
832,L,24.450000000000045,35.25,1521,38.6,173,0,0,0,0,0,0,10.799999999999955
833,L,24.450000000000045,35.25,1616,28.0,175,0,0,0,0,0,0,10.799999999999955
834,H,24.450000000000045,35.25,1333,50.2,177,0,0,0,0,0,0,10.799999999999955
835,M,24.55000000000001,35.25,1533,32.5,182,0,0,0,0,0,0,10.699999999999989
836,L,24.450000000000045,35.25,1368,45.1,185,0,0,0,0,0,0,10.799999999999955
837,L,24.450000000000045,35.25,1465,47.8,187,0,0,0,0,0,0,10.799999999999955
838,H,24.450000000000045,35.25,1406,41.5,189,0,0,0,0,0,0,10.799999999999955
839,M,24.350000000000023,35.25,1565,43.5,194,0,0,0,0,0,0,10.899999999999977
840,L,24.450000000000045,35.35000000000002,1582,37.9,197,0,0,0,0,0,0,10.899999999999977
841,L,24.450000000000045,35.35000000000002,1439,45.5,199,0,0,0,0,0,0,10.899999999999977
842,M,24.450000000000045,35.35000000000002,1566,35.0,201,0,0,0,0,0,0,10.899999999999977
843,L,24.450000000000045,35.35000000000002,1485,42.7,204,0,0,0,0,0,0,10.899999999999977
844,L,24.350000000000023,35.35000000000002,1566,35.1,206,0,0,0,0,0,0,11.0
845,L,24.150000000000034,35.150000000000034,1439,41.5,208,0,0,0,0,0,0,11.0
846,M,24.25,35.25,1416,50.0,210,0,0,0,0,0,0,11.0
847,L,24.25,35.25,2833,5.6,213,1,0,0,1,0,0,11.0
848,L,24.150000000000034,35.25,1465,47.1,215,0,0,0,0,0,0,11.099999999999966
849,H,24.25,35.25,1586,35.5,0,0,0,0,0,0,0,11.0
850,L,24.150000000000034,35.150000000000034,1567,31.4,5,0,0,0,0,0,0,11.0
851,M,24.05000000000001,35.05000000000001,1389,48.6,7,0,0,0,0,0,0,11.0
852,M,24.150000000000034,35.150000000000034,1368,49.5,10,0,0,0,0,0,0,11.0
853,L,24.150000000000034,35.150000000000034,1444,49.0,13,0,0,0,0,0,0,11.0
854,M,24.150000000000034,35.150000000000034,1498,41.6,15,0,0,0,0,0,0,11.0
855,L,23.950000000000045,35.05000000000001,1615,30.8,18,0,0,0,0,0,0,11.099999999999966
856,L,23.950000000000045,34.950000000000045,1898,22.7,20,0,0,0,0,0,0,11.0
857,M,23.950000000000045,34.950000000000045,1350,53.3,22,0,0,0,0,0,0,11.0
858,M,24.05000000000001,34.85000000000002,1516,37.6,25,0,0,0,0,0,0,10.800000000000011
859,H,24.05000000000001,34.85000000000002,1542,40.6,28,0,0,0,0,0,0,10.800000000000011
860,H,23.950000000000045,34.75,1541,32.6,33,0,0,0,0,0,0,10.799999999999955
861,M,23.950000000000045,34.75,1951,23.3,38,0,0,0,0,0,0,10.799999999999955
862,H,23.950000000000045,34.650000000000034,1645,31.0,41,0,0,0,0,0,0,10.699999999999989
863,L,23.850000000000023,34.55000000000001,1416,44.2,46,0,0,0,0,0,0,10.699999999999989
864,M,23.850000000000023,34.55000000000001,2044,22.3,48,0,0,0,0,0,0,10.699999999999989
865,L,23.75,34.450000000000045,1414,50.2,51,0,0,0,0,0,0,10.700000000000045
866,L,23.75,34.450000000000045,1678,26.7,53,0,0,0,0,0,0,10.700000000000045
867,H,23.75,34.35000000000002,1594,33.2,55,0,0,0,0,0,0,10.600000000000023
868,M,23.650000000000034,34.35000000000002,1514,37.7,60,0,0,0,0,0,0,10.699999999999989
869,L,23.650000000000034,34.35000000000002,1358,49.2,63,0,0,0,0,0,0,10.699999999999989
870,L,23.650000000000034,34.25,1325,56.2,65,0,0,0,0,0,0,10.599999999999966
871,L,23.650000000000034,34.25,1339,53.2,67,0,0,0,0,0,0,10.599999999999966
872,M,23.650000000000034,34.25,1335,51.7,69,0,0,0,0,0,0,10.599999999999966
873,L,23.75,34.25,1892,21.7,72,0,0,0,0,0,0,10.5
874,L,23.75,34.25,1575,28.5,74,0,0,0,0,0,0,10.5
875,M,23.650000000000034,34.150000000000034,1444,45.5,76,0,0,0,0,0,0,10.5
876,L,23.55000000000001,34.150000000000034,1915,22.4,79,0,0,0,0,0,0,10.600000000000023
877,M,23.450000000000045,34.05000000000001,1584,33.6,81,0,0,0,0,0,0,10.599999999999966
878,M,23.55000000000001,34.150000000000034,1685,34.9,84,0,0,0,0,0,0,10.600000000000023
879,L,23.650000000000034,34.150000000000034,1337,54.6,87,0,0,0,0,0,0,10.5
880,M,23.650000000000034,34.150000000000034,1235,76.2,89,1,0,0,1,0,0,10.5
881,L,23.55000000000001,34.05000000000001,1464,46.2,92,0,0,0,0,0,0,10.5
882,M,23.55000000000001,34.05000000000001,1739,25.9,94,0,0,0,0,0,0,10.5
883,L,23.55000000000001,34.150000000000034,1490,34.3,97,0,0,0,0,0,0,10.600000000000023
884,L,23.650000000000034,34.25,1356,48.0,99,0,0,0,0,0,0,10.599999999999966
885,L,23.55000000000001,34.05000000000001,1397,52.0,101,0,0,0,0,0,0,10.5
886,L,23.55000000000001,34.05000000000001,1458,40.6,103,0,0,0,0,0,0,10.5
887,H,23.55000000000001,34.05000000000001,2161,16.5,105,0,0,0,0,0,0,10.5
888,M,23.450000000000045,33.950000000000045,1651,28.1,110,0,0,0,0,0,0,10.5
889,L,23.450000000000045,33.950000000000045,1389,46.2,113,0,0,0,0,0,0,10.5
890,L,23.450000000000045,33.85000000000002,1370,52.4,115,0,0,0,0,0,0,10.399999999999977
891,L,23.55000000000001,33.950000000000045,1408,47.9,117,0,0,0,0,0,0,10.400000000000034
892,L,23.55000000000001,33.950000000000045,1343,54.4,119,0,0,0,0,0,0,10.400000000000034
893,M,23.55000000000001,34.05000000000001,1423,42.5,121,0,0,0,0,0,0,10.5
894,L,23.450000000000045,34.05000000000001,1426,48.6,124,0,0,0,0,0,0,10.599999999999966
895,M,23.450000000000045,34.05000000000001,1435,51.6,126,0,0,0,0,0,0,10.599999999999966
896,L,23.350000000000023,33.950000000000045,1573,35.1,129,0,0,0,0,0,0,10.600000000000023
897,L,23.450000000000045,34.05000000000001,1612,31.2,131,0,0,0,0,0,0,10.599999999999966
898,L,23.450000000000045,34.05000000000001,1446,49.9,133,0,0,0,0,0,0,10.599999999999966
899,H,23.450000000000045,34.05000000000001,1329,55.3,135,0,0,0,0,0,0,10.599999999999966
900,L,23.450000000000045,34.05000000000001,1569,35.1,140,0,0,0,0,0,0,10.599999999999966
901,H,23.450000000000045,33.950000000000045,1256,62.3,142,0,0,0,0,0,0,10.5
902,L,23.450000000000045,33.950000000000045,1383,48.7,147,0,0,0,0,0,0,10.5
903,L,23.55000000000001,34.05000000000001,2270,14.6,149,1,0,0,1,0,0,10.5
904,H,23.55000000000001,34.05000000000001,1458,49.8,151,0,0,0,0,0,0,10.5
905,L,23.450000000000045,33.950000000000045,1474,41.2,156,0,0,0,0,0,0,10.5
906,M,23.450000000000045,33.950000000000045,1462,49.2,158,0,0,0,0,0,0,10.5
907,M,23.450000000000045,33.950000000000045,1669,29.0,161,0,0,0,0,0,0,10.5
908,M,23.350000000000023,33.950000000000045,1822,24.3,164,0,0,0,0,0,0,10.600000000000023
909,L,23.350000000000023,33.85000000000002,1456,39.2,167,0,0,0,0,0,0,10.5
910,L,23.350000000000023,33.85000000000002,1546,35.9,169,0,0,0,0,0,0,10.5
911,M,23.450000000000045,33.950000000000045,1490,42.7,171,0,0,0,0,0,0,10.5
912,L,23.450000000000045,33.85000000000002,1569,40.4,174,0,0,0,0,0,0,10.399999999999977
913,L,23.350000000000023,33.85000000000002,1621,29.5,176,0,0,0,0,0,0,10.5
914,M,23.25,33.75,1518,40.6,178,0,0,0,0,0,0,10.5
915,M,23.25,33.650000000000034,1526,38.2,181,0,0,0,0,0,0,10.400000000000034
916,M,23.150000000000034,33.650000000000034,1589,36.2,184,0,0,0,0,0,0,10.5
917,L,23.150000000000034,33.55000000000001,1475,51.0,187,0,0,0,0,0,0,10.399999999999977
918,M,23.150000000000034,33.55000000000001,1473,38.5,189,0,0,0,0,0,0,10.399999999999977
919,L,23.25,33.650000000000034,1407,50.7,192,0,0,0,0,0,0,10.400000000000034
920,M,23.350000000000023,33.75,1518,44.1,194,0,0,0,0,0,0,10.399999999999977
921,H,23.350000000000023,33.75,1593,37.2,197,0,0,0,0,0,0,10.399999999999977
922,M,23.350000000000023,33.75,1380,52.4,202,0,0,0,0,0,0,10.399999999999977
923,M,23.350000000000023,33.85000000000002,1423,45.3,205,0,0,0,0,0,0,10.5
924,L,23.350000000000023,33.85000000000002,1800,27.6,208,0,0,0,0,0,0,10.5
925,H,23.450000000000045,33.950000000000045,1623,30.9,210,0,0,0,0,0,0,10.5
926,L,23.450000000000045,33.950000000000045,1372,55.6,215,1,0,0,0,1,0,10.5
927,H,23.450000000000045,33.85000000000002,1396,52.4,0,0,0,0,0,0,0,10.399999999999977
928,L,23.450000000000045,33.85000000000002,1949,21.9,5,0,0,0,0,0,0,10.399999999999977
929,L,23.450000000000045,33.85000000000002,1419,51.1,7,0,0,0,0,0,0,10.399999999999977
930,M,23.350000000000023,33.75,1453,47.3,9,0,0,0,0,0,0,10.399999999999977
931,L,23.350000000000023,33.75,1542,36.2,12,0,0,0,0,0,0,10.399999999999977
932,L,23.450000000000045,33.85000000000002,1363,50.0,14,0,0,0,0,0,0,10.399999999999977
933,L,23.350000000000023,33.85000000000002,1597,37.2,16,0,0,0,0,0,0,10.5
934,M,23.350000000000023,33.85000000000002,1326,50.8,18,0,0,0,0,0,0,10.5
935,M,23.350000000000023,33.85000000000002,1641,36.6,21,0,0,0,0,0,0,10.5
936,M,23.450000000000045,33.950000000000045,1418,46.2,24,0,0,0,0,0,0,10.5
937,L,23.450000000000045,34.05000000000001,1263,61.8,27,0,0,0,0,0,0,10.599999999999966
938,L,23.450000000000045,34.05000000000001,1823,25.8,29,0,0,0,0,0,0,10.599999999999966
939,L,23.350000000000023,33.950000000000045,1488,40.7,31,0,0,0,0,0,0,10.600000000000023
940,L,23.450000000000045,34.05000000000001,1443,48.9,33,0,0,0,0,0,0,10.599999999999966
941,L,23.450000000000045,34.05000000000001,1650,28.2,35,0,0,0,0,0,0,10.599999999999966
942,M,23.55000000000001,34.150000000000034,1462,44.3,37,0,0,0,0,0,0,10.600000000000023
943,M,23.450000000000045,34.05000000000001,1477,45.0,40,0,0,0,0,0,0,10.599999999999966
944,M,23.55000000000001,34.150000000000034,1712,28.5,43,0,0,0,0,0,0,10.600000000000023
945,M,23.55000000000001,34.150000000000034,1347,50.4,46,0,0,0,0,0,0,10.600000000000023
946,L,23.450000000000045,34.05000000000001,1287,54.8,49,0,0,0,0,0,0,10.599999999999966
947,L,23.450000000000045,34.05000000000001,1428,44.5,51,0,0,0,0,0,0,10.599999999999966
948,M,23.450000000000045,34.150000000000034,1426,45.5,53,0,0,0,0,0,0,10.699999999999989
949,L,23.450000000000045,34.150000000000034,1636,32.7,56,0,0,0,0,0,0,10.699999999999989
950,L,23.450000000000045,34.05000000000001,1424,42.5,58,0,0,0,0,0,0,10.599999999999966
951,H,23.450000000000045,34.150000000000034,1509,35.8,60,0,0,0,0,0,0,10.699999999999989
952,L,23.350000000000023,34.05000000000001,1448,48.9,65,0,0,0,0,0,0,10.699999999999989
953,L,23.350000000000023,33.950000000000045,1650,32.8,67,0,0,0,0,0,0,10.600000000000023
954,H,23.450000000000045,34.05000000000001,1414,42.5,69,0,0,0,0,0,0,10.599999999999966
955,L,23.450000000000045,34.150000000000034,1911,20.9,74,0,0,0,0,0,0,10.699999999999989
956,H,23.450000000000045,34.05000000000001,1632,32.2,76,0,0,0,0,0,0,10.599999999999966
957,M,23.55000000000001,34.25,1387,40.1,81,0,0,0,0,0,0,10.699999999999989
958,L,23.650000000000034,34.25,1399,47.6,84,0,0,0,0,0,0,10.599999999999966
959,L,23.650000000000034,34.35000000000002,1505,35.2,86,0,0,0,0,0,0,10.699999999999989
960,L,23.650000000000034,34.35000000000002,1534,37.9,88,0,0,0,0,0,0,10.699999999999989
